,Article,Continent,continent_llama
825,Cat_Stevens,Europe, africa
826,Cataract,International, africa
827,Cataract_surgery,International, europe
828,Cathedral_of_Magdeburg,Europe, north
829,Catherine_Cranston,Europe, asia
830,Catherine_II_of_Russia,Europe, asia
831,Catholic_social_teaching,International, south
832,Cattle,International, asia
833,Cave,International, ant
834,Cayman_Islands,North_America, asia
835,Celeriac,International, asia
836,Celery,International, asia
837,Celine_Dion,North_America, africa
838,Cell_%28biology%29,International, africa
839,Cello,International, north
840,Celtic_F.C.,Europe, asia
841,Celtic_Park,Europe, asia
842,Celtic_mythology,Europe, europe
843,Central_African_Republic,Africa, north
844,Central_processing_unit,International, north
845,Ceratopsidae,North_America, north
846,Cereal,International, ant
847,Cerebellum,International, asia
848,Ceres_%28dwarf_planet%29,International, ant
849,Cerium,International, north
850,Chad,Africa, north
851,Chadian-Sudanese_conflict,Africa, south
852,Chaffinch,Europe, asia
853,Channel_Islands,Europe, asia
854,Charlemagne,Europe, asia
855,Charles_Babbage,Europe, asia
856,Charles_Darwin,Europe, europe
857,Charles_Dickens,Europe, africa
858,Charles_Etienne_Brasseur_de_Bourbourg,Europe, africa
859,Charles_II_of_England,Europe, africa
860,Charles_I_of_England,Europe, north
861,Charles_Sumner,North_America, north
862,Charles_V%2C_Holy_Roman_Emperor,Europe, north
863,Charlie_Chaplin,Europe, north
864,Charlotte%27s_Web,North_America, north
865,Chartism,Europe, north
866,Che_Guevara,South_America, north
867,Cheers,North_America, north
868,Cheese,International, north
869,Cheetah,Africa, asia
870,Chelsea_F.C.,Europe, europe
871,Chemical_element,International, australia
872,Chemical_synapse,International, none
873,Chemistry,International, south
874,Chennai,Asia, north
875,Chepstow_Bridge,Europe, europe
876,Chernobyl_disaster,Europe, europe
877,Chess,International, europe
878,Chester_A._Arthur,North_America, europe
879,Chestnut,International, asia
880,Chew_Magna,Europe, north
881,Chew_Stoke,Europe, south
882,Chew_Valley,Europe, africa
883,Chew_Valley_Lake,Europe, africa
884,Chicago,North_America, africa
885,Chicago_Bears,North_America, africa
886,Chicago_and_North_Western_Railway,North_America, africa
887,Chicken,International, asia
888,Child,International, world
889,Children%27s_Crusade,International, an
890,Children%27s_rights_movement,International, north
891,Chile,South_America, south
892,Chiltern_Hills,Europe, europe
893,Chimpanzee,Africa, europe
894,China,Asia, europe
895,Chinese_Rites_controversy,Asia, asia
896,Chinese_language,Asia, asia
897,Chinyingi,Africa, ant
898,Chives,Europe, australia
899,Chlorine,International, asia
900,Chocolate,International, europe
901,Chola_dynasty,Asia, car
902,Cholera,International, europe
903,Chordate,International, north
904,Chris_Evert,North_America, europe
905,Christian_Bale,Europe, north
906,Christian_monasticism,Europe, north
907,Christianity,International, north
908,Christina_Aguilera,North_America, africa
909,Christmas_Island,Oceania, o
910,Christopher_Columbus,Europe, europe
911,Christopher_Wren,Europe, europe
912,Chromatic_aberration,International, asia
913,Chromatophore,International, asia
914,Chromium,International, north
915,Church_of_England,Europe, asia
916,Church_of_Ireland,Europe, asia
917,Cicely,Europe, out
918,Cider,International, australia
919,Cinema_of_the_United_States,North_America, ant
920,Citizen_Kane,North_America, ant
921,Citizenship,International, africa
922,Citrus,International, ant
923,City,International, europe
924,City_status_in_the_United_Kingdom,Europe, asia
925,Civil_War_token,North_America, asia
926,Civil_rights,North_America, europe
927,Civil_society,International, europe
928,Civilization,International, europe
929,Civilization_%28computer_game%29,International, ant
930,Clarinet,International, africa
931,Classic_female_blues,North_America, australia
932,Claude_L%C3%A9vi-Strauss,Europe, car
933,Claude_Monet,Europe, car
934,Claudius,Europe, asia
935,Clay,International, asia
936,Cleopatra_VII,Africa, europe
937,Cleopatra_VII_of_Egypt,Africa, europe
938,Cleveland%2C_Ohio,North_America, canada
939,Clifton_Suspension_Bridge,Europe, ant
940,Climate,International, europe
941,Climate_change,International, europe
942,Clock,International, europe
943,Clone_Wars_%28Star_Wars%29,International, europe
944,Clothing,International, africa
945,Cloud,International, africa
946,Coal,International, asia
947,Coal_Tit,Europe, asia
948,Cobalt,International, asia
949,Coccinellidae,International, asia
950,Cochineal,International, asia
951,Cockatiel,Oceania, ast
952,Cocoa,International, ant
953,Coconut,International, africa
954,Coconut_crab,International, africa
955,Coconut_oil,International, africa
956,Cocos_%28Keeling%29_Islands,Oceania, africa
957,Cod,International, europe
958,Code_of_Hammurabi,International, europe
959,Coffee,International, europe
960,Coin,International, europe
961,Cold_War,International, europe
962,Colditz_Castle,Europe, europe
963,Colima_%28volcano%29,North_America, europe
964,Collapse_of_the_World_Trade_Center,North_America, europe
965,Colley_Cibber,Europe, europe
966,Cologne,Europe, europe
967,Colombia,South_America, europe
968,Colombo,Asia, north
969,Color,International, europe
970,Color_Graphics_Adapter,International, europe
971,Color_blindness,International, north
972,Colorado_River,North_America, europe
973,Colossus_of_Rhodes,Europe, south
974,Columba,Europe, north
975,Columbia_River,North_America, ant
976,Columbine_High_School_massacre,North_America, africa
977,Columbus%2C_Ohio,North_America, europe
978,Comet,International, asia
979,Comet_Hale-Bopp,International, ant
980,Comet_Halley,International, europe
981,Comet_Hyakutake,International, asia
982,Comet_Shoemaker-Levy_9,International, europe
983,Comet_White-Ortiz-Bolelli,International, europe
984,Comics,International, ant
985,Comma_Johanneum,International, north
986,Commodore_64,International, asia
987,Common_Basilisk,South_America, europe
988,Common_Cuckoo,Europe, europe
989,Common_Eider,Europe, europe
990,Common_Eland,Africa, europe
991,Common_Hazel,Europe, north
992,Common_Pheasant,International, north
993,Common_Tern,Europe, north
994,Common_agouti,South_America, asia
995,Common_cold,International, ant
996,Common_sage,International, europe
997,Commonwealth_Games,International, europe
998,Communication,International, world
999,Communism,International, south
1000,Community,International, south
1001,Comoros,Africa, europe
1002,Compact_Disc,International, africa
1003,Company_%28law%29,International, asia
1004,Compsognathus,Europe, asia
1005,Computational_chemistry,International, asia
1006,Computer,International, asia
1007,Computer_and_video_games,International, africa
1008,Computer_programming,International, europe
1009,Computer_science,International, europe
1010,Conakry,Africa, asia
1011,Concorde,International, south
1012,Condoleezza_Rice,North_America, asia
1013,Conflict,International, asia
1014,Confucianism,Asia, asia
1015,Confucius,Asia, north
1016,Congo_River,Africa, ant
1017,Consolation_of_Philosophy,International, ant
1018,Constantine_I,Europe, ant
1019,Constantine_II_of_Scotland,Europe, africa
1020,Constitution_of_May_3%2C_1791,Europe, north
1021,Constitutional_monarchy,International, australia
1022,Constructivism_%28art%29,Europe, australia
1023,Consumer_protection,International, australia
1024,Contact_lens,International, europe
1025,Continent,International, europe
1026,Continental_crust,International, europe
1027,Control_car_%28rail%29,International, asia
1028,Convention_on_the_International_Trade_in_Endangered_Species_of_Wild_Flora_and_Fauna,International, asia
1029,Convention_on_the_Rights_of_the_Child,International, asia
1030,Cook_Islands,Oceania, europe
1031,Cookiecutter_shark,International, europe
1032,Cooperative,International, europe
1033,Coot,Europe, europe
1034,Copenhagen,Europe, north
1035,Copenhagen_Fire_of_1728,Europe, north
1036,Copper,International, ant
1037,Copper%28I%29_chloride,International, asia
1038,Coriander,International, asia
1039,Corinthian_War,Europe, asia
1040,Cormorant,International, europe
1041,Corn_oil,International, north
1042,Cornea,International, north
1043,Cornell_University,North_America, ant
1044,Coronation_Street,Europe, world
1045,Corporate_finance,International, north
1046,Corporation,International, asia
1047,Corrosion,International, africa
1048,Corundum,International, europe
1049,Cosmic_inflation,International, europe
1050,Cosmic_microwave_background_radiation,International, rome
1051,Costa_Rica,North_America, asia
1052,Costume_design,International, africa
1053,Cotopaxi,South_America, africa
1054,Cotswolds,Europe, africa
1055,Cotton,International, north
1056,Coulomb%27s_law,International, europe
1057,Country,International, europe
1058,Coupling_%28railway%29,International, world
1059,Coventry,Europe, world
1060,Crab_Nebula,International, asia
1061,Crash_test_dummy,International, asia
1062,Craters_of_the_Moon_National_Monument_and_Preserve,North_America, asia
1063,Craton,International, asia
1064,Creation-evolution_controversy,International, asia
1065,Creationism,International, asia
1066,Creative_Commons,International, asia
1067,Cretaceous,International, africa
1068,Cretaceous-Tertiary_extinction_event,International, australia
1069,Cricket,International, south
1070,Crime,International, australia
1071,Crime_and_Punishment,International, north
1072,Crime_in_Mexico,North_America, asia
1073,Crimean_Karaites,Europe, asia
1074,Crimean_War,Europe, australia
1075,Crimson-collared_Tanager,South_America, asia
1076,Cristero_War,North_America, australia
1077,Criticism_of_the_War_on_Terrorism,International, australia
1078,Croatia,Europe, europe
1079,Crocodile,International, asia
1080,Crohn%27s_disease,International, africa
1081,Cross_Fell,Europe, asia
1082,Crossbill,Europe, europe
1083,Crow,International, europe
1084,Crown_Jewels_of_the_United_Kingdom,Europe, south
1085,Crusades,International, north
1086,Crust_%28geology%29,International, europe
1087,Crustacean,International, europe
1088,Cryptography,International, europe
1089,Crystal,International, south
1090,Crystallographic_defects_in_diamond,International, south
1091,Cuba,North_America, asia
1092,Cubeb,International, ant
1093,Cubism,Europe, north
1094,Cuckmere_Haven,Europe, none
1095,Cultivar,International, north
1096,Cultural_diversity,International, asia
1097,Cultural_identity,International, asia
1098,Culture,International, europe
1099,Culture_of_the_Democratic_Republic_of_the_Congo,Africa, north
1100,Curium,International, north
1101,Currency,International, north
1102,Cyanocobalamin,International, ant
1103,Cyberpunk,International, ant
1104,Cyclamen,Europe, ant
1105,Cyclone_Percy,International, asia
1106,Cyclone_Rosita,International, ant
1107,Cyclops,International, ant
1108,Cymbopogon,International, asia
1109,Cyprus,Europe, europe
1110,Cyril_Clarke,Europe, ant
1111,Cyrus_K._Holliday,North_America, south
1112,Cyrus_the_Great,Asia, africa
1113,Cystic_fibrosis,International, europe
1114,Czech_Republic,Europe, africa
1115,D%C3%A1l_Riata,Europe, europe
1116,D%C3%BCsseldorf,Europe, asia
1117,DNA,International, asia
1118,DNA_repair,International, europe
1119,DVD,International, south
1120,Dad%27s_Army,Europe, ant
1121,Dada,Europe, europe
1122,Dakar,Africa, australia
1123,Dakota%2C_Minnesota_and_Eastern_Railroad,North_America, asia
1124,Daley_Thompson,Europe, asia
1125,Dallas%2C_Texas,North_America, australia
1126,Dam,International, africa
1127,Damascus,Middle_East, asia
1128,Damascus_steel,Middle_East, ant
1129,Damon_Hill,Europe, europe
1130,Dance,International, ant
1131,Dandelion,International, ant
1132,Daniel_Day-Lewis,Europe, asia
1133,Daniel_Ellsberg,North_America, asia
1134,Danny_Deever,Europe, asia
1135,Danske_Statsbaner,Europe, africa
1136,Dante_Alighieri,Europe, europe
1137,Danube,Europe, north
1138,Darfur_conflict,Africa, world
1139,Dark_Ages,International, asia
1140,Darling_River,Oceania, asia
1141,Darmstadtium,International, africa
1142,Darth_Vader,International, ant
1143,Dartmoor,Europe, europe
1144,Das_Kapital,Europe, europe
1145,Data_Encryption_Standard,International, europe
1146,David_Attenborough,Europe, asia
1147,David_Beckham,Europe, europe
1148,David_Blanchflower,Europe, ant
1149,David_Cameron,Europe, asia
1150,David_Copperfield_%28novel%29,Europe, africa
1151,David_Helvarg,North_America, ant
1152,David_Heymann,International, asia
1153,David_Hilbert,Europe, ant
1154,David_Hume,Europe, ant
1155,David_III_of_Tao,Asia, world
1156,David_Livingstone,Africa, o
1157,Davis_Cup,International, o
1158,Davy_Jones%27_Locker,International, ant
1159,Day,International, ant
1160,Dayuan,Asia, ant
1161,Dead_Sea,Middle_East, australia
1162,Dead_Sea_scrolls,Middle_East, europe
1163,Death_Valley_National_Park,North_America, europe
1164,Decade_Volcanoes,International, south
1165,Deconstructivism,International, asia
1166,Defaka,Africa, asia
1167,Defense_of_Sihang_Warehouse,Asia, asia
1168,Definition_of_planet,International, an
1169,Deinonychus,North_America, asia
1170,Deity,International, north
1171,Delhi,Asia, asia
1172,Deluge_%28mythology%29,International, north
1173,Demand_Note,North_America, europe
1174,Democracy,International, asia
1175,Democratic_Action_Party,Asia, asia
1176,Democratic_Republic_of_the_Congo,Africa, asia
1177,Demosthenes,Europe, asia
1178,Denis_Law,Europe, ant
1179,Denmark,Europe, ant
1180,Dennis_Ritchie,North_America, central
1181,Denver%2C_Colorado,North_America, central
1182,Derby,Europe, asia
1183,Desert,International, south
1184,Desert_locust,Africa, south
1185,Desmond_Tutu,Africa, europe
1186,Despotism,International, asia
1187,Detroit%2C_Michigan,North_America, ant
1188,Devonian,International, world
1189,Dewey_Square,North_America, asia
1190,Diabetes_mellitus,International, europe
1191,Diamond,International, ant
1192,Diamond_cut,International, asia
1193,Diamond_simulant,International, north
1194,Diane_Keaton,North_America, africa
1195,Dice,International, ant
1196,Dido_and_Aeneas,Europe, ant
1197,Diego_Garcia,Africa, africa
1198,Diego_Maradona,South_America, africa
1199,Diego_Vel%C3%A1zquez,Europe, ant
1200,Differential_equation,International, ant
1201,Differential_geometry_and_topology,International, ant
1202,Diffuse_interstellar_band,International, ant
1203,Dik-dik,Africa, asia
1204,Dill,International, south
1205,Dilophosaurus,North_America, asia
1206,Dimetrodon,North_America, south
1207,Dingo,Oceania, asia
1208,Dinosaur,International, europe
1209,Diplodocus,North_America, south
1210,Directdebit,International, latin
1211,Directive_Principles_in_India,Asia, asia
1212,Disneyland_Railroad,North_America, europe
1213,Distilled_beverage,International, europe
1214,Dixie_Mission,Asia, africa
1215,Djibouti,Africa, asia
1216,Dmitri_Mendeleev,Europe, europe
1217,Doctor_Who,Europe, asia
1218,Dodo,Africa, asia
1219,Dog,International, europe
1220,Doha,Asia, europe
1221,Dolphin,International, europe
1222,Domesday_Book,Europe, europe
1223,Domestic_AC_power_plugs_and_sockets,International, africa
1224,Domestic_goat,International, ant
1225,Domesticated_turkey,International, asia
1226,Dominica,North_America, australia
1227,Dominican_Republic,North_America, ant
1228,Donald_Bradman,Oceania, ant
1229,Donald_Duck,International, ant
1230,Donald_Knuth,North_America, asia
1231,Donation,International, europe
1232,Doom,International, europe
1233,Dorset,Europe, australia
1234,Double-decker_bus,Europe, australia
1235,Double_bass,International, world
1236,Douglas_Adams,Europe, asia
1237,Douglas_DC-4,International, world
1238,Dove,International, africa
1239,Dover,Europe, ant
1240,Down_syndrome,International, asia
1241,Dr._Seuss,North_America, asia
1242,Drama,International, asia
1243,Draughts,International, ant
1244,Drawing,International, ant
1245,Dresden,Europe, australia
1246,Drinking_water,International, australia
1247,Driving_on_the_left_or_right,International, australia
1248,Drosera_anglica,Oceania, australia
1249,Drosophila_melanogaster,International, greece
1250,Drought,International, asia
1251,Drum_and_bass,International, asia
1252,Du_Fu,Asia, asia
1253,Dualism_%28philosophy_of_mind%29,International, asia
1254,Dubai,Middle_East, ant
1255,Dublin,Europe, north
1256,Dubnium,International, asia
1257,Duchenne_muscular_dystrophy,International, ant
1258,Dundee,Europe, europe
1259,Dundee_United_F.C.,Europe, europe
1260,Dune,International, europe
1261,Dunnock,Europe, europe
1262,Dunstable_Downs,Europe, ant
1263,Duran_Duran,Europe, asia
1264,Durham,Europe, asia
1265,Durham_Cathedral,Europe, europe
1266,Durian,Asia, europe
1267,Dutch_language,Europe, africa
1268,Dwight_D._Eisenhower,North_America, north
1269,Dysprosium,International, africa
1270,E.T._the_Extra-Terrestrial_%28Atari_2600%29,North_America, north
1271,E._E._Cummings,North_America, australia
1272,E._P._Wigner,North_America, asia
1273,ECHELON,International, asia
1274,EMD_BL2,North_America, europe
1275,EMD_F7,North_America, australia
1276,EMD_GP30,North_America, europe
1277,Eagle,International, europe
1278,Eagle_Scout_%28Boy_Scouts_of_America%29,North_America, north
1279,Earl_of_Shaftesbury,Europe, asia
1280,Earless_seal,International, europe
1281,Earth,International, italy
1282,Earth%27s_atmosphere,International, europe
1283,Earthquake,International, africa
1284,Earwax,International, europe
1285,East-West_Schism,Europe, australia
1286,EastEnders,Europe, ant
1287,East_Africa,Africa, north
1288,East_Flemish,Europe, europe
1289,East_Timor,Asia, europe
1290,Easter_Island,Oceania, north
1291,Eastern_Orthodox_Church,Europe, europe
1292,Eastern_Roman_Empire,Europe, europe
1293,Ebony,Africa, ant
1294,Ecology,International, europe
1295,Economic_inequality,International, europe
1296,Economics,International, north
1297,Economy_of_Africa,Africa, north
1298,Economy_of_India,Asia, europe
1299,Economy_of_Pakistan,Asia, europe
1300,Economy_of_Scotland,Europe, asia
1301,Economy_of_the_Iroquois,North_America, africa
1302,Economy_of_the_Republic_of_Ireland,Europe, africa
1303,Ecuador,South_America, australia
1304,Edema,International, north
1305,Edgar_Allan_Poe,North_America, asia
1306,Edible_salt,International, asia
1307,Edinburgh,Europe, asia
1308,Edmond_Halley,Europe, middle
1309,Edmonton,North_America, north
1310,Edmund_Burke,Europe, ant
1311,Edmund_Hillary,International, ant
1312,Education,International, africa
1313,Education_in_the_United_States,North_America, asia
1314,Educational_psychology,International, ant
1315,Edward_Gibbon,Europe, asia
1316,Edward_III_of_England,Europe, ant
1317,Edward_II_of_England,Europe, asia
1318,Edward_IV_of_England,Europe, asia
1319,Edward_I_of_England,Europe, north
1320,Edward_Jenner,Europe, world
1321,Edward_Teller,North_America, asia
1322,Edward_VIII_of_the_United_Kingdom,Europe, africa
1323,Edward_VII_of_the_United_Kingdom,Europe, greece
1324,Edward_VI_of_England,Europe, greece
1325,Edward_V_of_England,Europe, scotland
1326,Edward_the_Confessor,Europe, europe
1327,Edwin_of_Northumbria,Europe, europe
1328,Effect_of_Hurricane_Katrina_on_New_Orleans,North_America, north
1329,Effects_of_global_warming,International, north
1330,Effects_of_nuclear_explosions,International, europe
1331,Egg_%28food%29,International, africa
1332,Egypt,Africa, africa
1333,Egyptian_pyramids,Africa, africa
1334,Eifel_Aqueduct,Europe, south
1335,Eilmer_of_Malmesbury,Europe, asia
1336,Einsteinium,International, north
1337,El_Aai%C3%BAn,Africa, europe
1338,El_Hatillo_Municipality%2C_Miranda,South_America, north
1339,El_Lissitzky,Europe, ant
1340,El_Ni%C3%B1o-Southern_Oscillation,International, ant
1341,El_Salvador,North_America, ant
1342,Elagabalus,Europe, asia
1343,Eldfell,Europe, north
1344,Election,International, asia
1345,Electric_charge,International, europe
1346,Electric_field,International, asia
1347,Electrical_engineering,International, south
1348,Electrical_resistance,International, europe
1349,Electricity,International, asia
1350,Electromagnetic_radiation,International, asia
1351,Electron,International, ant
1352,Electron_beam_welding,International, africa
1353,Electronic_amplifier,International, asia
1354,Electronics,International, ant
1355,Elementary_algebra,International, ant
1356,Elementary_arithmetic,International, australia
1357,Elementary_group_theory,International, ant
1358,Eleocharis_dulcis,International, north
1359,Elephant,International, asia
1360,Elephant_bird,Africa, north
1361,Elephant_shrew,Africa, asia
1362,Elfin-woods_Warbler,North_America, asia
1363,Elias_Ashmole,Europe, africa
1364,Eliminative_materialism,International, africa
1365,Elizabeth_Fry,Europe, russia
1366,Elizabeth_II_of_the_United_Kingdom,Europe, europe
1367,Elizabeth_I_of_England,Europe, africa
1368,Elizabethan_Poor_Law_%281601%29,Europe, asia
1369,Elvis_Presley,North_America, asia
1370,Emacs,International, australia
1371,Emanuel_Swedenborg,Europe, europe
1372,Emirate,Middle_East, australia
1373,Emma_Roberts,North_America, asia
1374,Emotion,International, asia
1375,Emperor_Penguin,International, north
1376,Empires__Dawn_of_the_Modern_World,International, ant
1377,Empiricism,International, ant
1378,Employment,International, car
1379,Emu,Oceania, car
1380,Enceladus_%28moon%29,International, australia
1381,Encyclop%C3%A6dia_Britannica,International, north
1382,Endoscopic_foreign_body_retrieval,International, north
1383,Energy,International, ant
1384,Engineering,International, europe
1385,England,Europe, europe
1386,England_expects_that_every_man_will_do_his_duty,Europe, europe
1387,English_Channel,Europe, europe
1388,English_Reformation,Europe, north
1389,English_language,International, asia
1390,English_monarchs_family_tree,Europe, europe
1391,English_peasants%27_revolt_of_1381,Europe, ant
1392,English_poetry,Europe, north
1393,Enigma_machine,Europe, europe
1394,Entropy,International, europe
1395,Environmental_science,International, ant
1396,Enzyme_kinetics,International, asia
1397,Eocene,International, europe
1398,Epaminondas,Europe, africa
1399,Epazote,International, ant
1400,Epic_of_Gilgamesh,International, europe
1401,Episcopal_polity,International, ant
1402,Equal_Protection_Clause,North_America, australia
1403,Equatorial_Guinea,Africa, ant
1404,Erbium,International, asia
1405,Eric_Clapton,Europe, europe
1406,Erie_Canal,North_America, asia
1407,Eris_%28dwarf_planet%29,International, asia
1408,Eritrea,Africa, europe
1409,Ernest_Hemingway,North_America, ant
1410,Ernest_Rutherford,Europe, ant
1411,Eruption_column,International, europe
1412,Erwin_Rommel,Europe, europe
1413,Eskimo,North_America, africa
1414,Esox,International, europe
1415,Esperanto,International, europe
1416,Essential_oil,International, europe
1417,Estonia,Europe, europe
1418,Ethanol,International, europe
1419,Ethics,International, asia
1420,Ethiopia,Africa, ant
1421,Ethiopian_Wolf,Africa, north
1422,Ethnic_group,International, asia
1423,Euclid,International, north
1424,Euclidean_geometry,International, north
1425,Eukaryote,International, europe
1426,Euphrates,Asia, north
1427,Eurasian_Bullfinch,Europe, north
1428,Eurasian_Collared_Dove,Europe, north
1429,Eurasian_Eagle_Owl,Europe, north
1430,Eurasian_Jay,Europe, north
1431,Eurasian_Oystercatcher,Europe, north
1432,Euro,Europe, europe
1433,Europe,Europe, ant
1434,European_Goldfinch,Europe, world
1435,European_Greenfinch,Europe, world
1436,European_Kingfisher,Europe, ant
1437,European_Parliament,Europe, ant
1438,European_Space_Agency,Europe, europe
1439,European_Union,Europe, europe
1440,Europium,International, africa
1441,Eurovision_Song_Contest,Europe, europe
1442,Euston_Manifesto,Europe, asia
1443,Eustreptospondylus,Europe, asia
1444,Eva_Per%C3%B3n,South_America, south
1445,Evan_Rachel_Wood,North_America, south
1446,Evanton,Europe, asia
1447,Evolution,International, asia
1448,Evolutionarily_stable_strategy,International, asia
1449,Existentialism,International, australia
1450,Exploration_of_Mars,International, world
1451,Explorer_I,International, europe
1452,Expressionism,International, africa
1453,Extinct_birds,International, asia
1454,Extinction,International, asia
1455,Extrasolar_planet,International, europe
1456,Extraterrestrial_life,International, north
1457,Eye,International, europe
1458,Eye_%28cyclone%29,International, south
1459,Eyelid,International, south
1460,Ezra_Pound,North_America, asia
1461,F-35_Lightning_II,International, north
1462,F-4_Phantom_II,International, asia
1463,FIFA,International, asia
1464,FIFA_World_Cup,International, europe
1465,FM_Consolidated_line,North_America, europe
1466,FairTax,North_America, europe
1467,Fair_Isle,Europe, north
1468,Falcon,International, europe
1469,Falkirk_Wheel,Europe, asia
1470,Falkland_Islands,South_America, africa
1471,Family,International, north
1472,Famine,International, ant
1473,Fanny_Blankers-Koen,Europe, europe
1474,Faroe_Islands,Europe, europe
1475,Fascism,International, europe
1476,Fashion,International, europe
1477,Fatty_acid,International, europe
1478,Fauna_of_Australia,Oceania, europe
1479,Feather,International, europe
1480,Fed_Cup,International, europe
1481,Federal_Bureau_of_Investigation,North_America, europe
1482,Federated_States_of_Micronesia,Oceania, asia
1483,Fedora_Core,International, europe
1484,Feldspar,International, europe
1485,Felice_Beato,Europe, europe
1486,Felix_Mendelssohn,Europe, europe
1487,Felix_the_Cat,North_America, europe
1488,Fencing,International, europe
1489,Fennel,International, europe
1490,Ferdinand_Magellan,International, europe
1491,Ferdinandea,Europe, europe
1492,Fermi_paradox,International, europe
1493,Fermium,International, europe
1494,Fern,International, north
1495,Fertile_Crescent,Middle_East, ant
1496,Fertilizer,International, ant
1497,Fetal_alcohol_spectrum_disorder,International, north
1498,Ffestiniog_Railway,Europe, asia
1499,Fiberglass,International, africa
1500,Fiction,International, africa
1501,Fidel_Castro,North_America, africa
1502,Fieldfare,Europe, europe
1503,Fiji,Oceania, europe
1504,Film,International, europe
1505,Final_Fantasy_%28video_game%29,International, ant
1506,Final_Fantasy_Adventure,International, africa
1507,Finance,International, south
1508,Financial_statements,International, europe
1509,Fine_art,International, south
1510,Finland,Europe, central
1511,Fire,International, central
1512,Firearm,International, rome
1513,Firecrest,Europe, rome
1514,Firefly_%28TV_series%29,North_America, europe
1515,First_Council_of_Nicaea,Europe, world
1516,First_Crusade,Europe, asia
1517,First_Macedonian_War,Europe, asia
1518,First_Transcontinental_Railroad,North_America, asia
1519,Fish,International, asia
1520,Fishing,International, asia
1521,Flag_of_Australia,Oceania, asia
1522,Flag_of_Belarus,Europe, asia
1523,Flag_of_Hong_Kong,Asia, asia
1524,Flag_of_India,Asia, asia
1525,Flag_of_Mexico,North_America, asia
1526,Flag_of_South_Africa,Africa, asia
1527,Flag_of_the_Republic_of_China,Asia, asia
1528,Flamingo,International, ant
1529,Flanders,Europe, asia
1530,Flat_Earth,International, africa
1531,Flemish_%28linguistics%29,Europe, africa
1532,Flemish_dialects,Europe, africa
1533,Flemish_people,Europe, ant
1534,Flood,International, europe
1535,Floppy_disk,International, ant
1536,Florence_Nightingale,Europe, europe
1537,Florida,North_America, europe
1538,Florida_East_Coast_Railway,North_America, europe
1539,Floris_and_Blancheflour,Europe, europe
1540,Flower,International, europe
1541,Floyd_Mayweather_Jr.,North_America, europe
1542,Fluorine,International, north
1543,Flute,International, ant
1544,Foie_gras,Europe, europe
1545,Folic_acid,International, asia
1546,Folk_music,International, north
1547,Folklore,International, asia
1548,Food,International, asia
1549,Football,International, ant
1550,Football_%28soccer%29,International, north
1551,Force,International, ant
1552,Forensic_facial_reconstruction,International, asia
1553,Forest,International, australia
1554,Formic_acid,International, out
1555,Formula_One,International, europe
1556,Forrest_Gump,North_America, asia
1557,Fort_de_Chartres,North_America, world
1558,Forth,Europe, ant
1559,Forth_Bridge_%28railway%29,Europe, europe
1560,Forth_Road_Bridge,Europe, europe
1561,Fossil,International, europe
1562,Fossil_fuel,International, europe
1563,Fossil_record,International, world
1564,Fourteenth_Amendment_to_the_United_States_Constitution,North_America, europe
1565,Fox,International, europe
1566,Fr%C3%A9d%C3%A9ric_Chopin,Europe, europe
1567,Fractal,International, europe
1568,France,Europe, europe
1569,France_in_the_American_Revolutionary_War,North_America, ant
1570,Frances_Oldham_Kelsey,North_America, ant
1571,Francis_Bacon,Europe, ant
1572,Francis_Crick,Europe, ant
1573,Francis_Drake,Europe, europe
1574,Francis_Petre,Oceania, central
1575,Francis_of_Assisi,Europe, asia
1576,Francisco_Goya,Europe, asia
1577,Francium,International, africa
1578,Frank_Lloyd_Wright,North_America, north
1579,Frankenstein,Europe, africa
1580,Frankfurt,Europe, africa
1581,Franklin_B._Gowen,North_America, europe
1582,Franklin_D._Roosevelt,North_America, europe
1583,Franklin_Pierce,North_America, north
1584,Franks,Europe, out
1585,Franz_Kafka,Europe, africa
1586,Franz_Schubert,Europe, africa
1587,Frederick_Douglass,North_America, north
1588,Frederick_Hamilton-Temple-Blackwood%2C_1st_Marquess_of_Dufferin_and_Ava,Europe, ant
1589,Frederick_II%2C_Holy_Roman_Emperor,Europe, ant
1590,Frederick_II_of_Prussia,Europe, ant
1591,Freetown,Africa, africa
1592,French_Guiana,South_America, asia
1593,French_Open_%28tennis%29,Europe, north
1594,French_Polynesia,Oceania, europe
1595,French_Revolution,Europe, asia
1596,French_Southern_and_Antarctic_Lands,Antarctica, europe
1597,French_language,Europe, europe
1598,Fresh_water,International, asia
1599,Friedrich_Nietzsche,Europe, europe
1600,Friend_Directdebit,International, europe
1601,Frog,International, africa
1602,Fruit,International, africa
1603,Fugu,Asia, africa
1604,Full_moon,International, ant
1605,Funchal,Europe, africa
1606,Functional_programming,International, europe
1607,Fundamental_Rights_in_India,Asia, australia
1608,Fundamental_theorem_of_arithmetic,International, asia
1609,Fungus,International, asia
1610,Fur_language,International, asia
1611,Fusarium,International, asia
1612,Fyodor_Dostoevsky,Europe, e
1613,GDRT,International, ant
1614,GNOME,International, europe
1615,GNU,International, europe
1616,GNU_Linux_naming_controversy,International, europe
1617,GNU_Project,International, europe
1618,Gabon,Africa, africa
1619,Gaborone,Africa, europe
1620,Gadolinium,International, europe
1621,Gal%C3%A1pagos_Islands,South_America, europe
1622,Galah,Oceania, europe
1623,Galaxy,International, europe
