Articles	Categories	continent
British_House_of_Commons	subject.Citizenship.Politics_and_government	 europe
British_Indian_Ocean_Territory	subject.Geography.Geography_of_Asia.Asian_Countries	 asia
British_Indian_Ocean_Territory	subject.Countries	 asia
British_Isles	subject.Geography.Geography_of_Great_Britain	 europe
British_Isles_%28terminology%29	subject.History.British_History	 europe
British_Isles_%28terminology%29	subject.Geography.Geography_of_Great_Britain	 europe
British_Virgin_Islands	subject.Geography.Central_and_South_American_Geography.Central_and_South_American_Countries	 north
British_Virgin_Islands	subject.Countries	 north
British_monarchy	subject.Citizenship.Politics_and_government	 europe
Britney_Spears	subject.People.Actors_models_and_celebrities	 north
Broadcasting	subject.Citizenship.Media	 asia
Bromine	subject.Science.Chemistry.Chemical_elements	 asia
Bronze_Age	subject.History.Ancient_History_Classical_History_and_Mythology	 asia
Brothers_Grimm	subject.People.Writers_and_critics	 europe
Brown_trout	subject.Science.Biology.Insects_Reptiles_and_Fish	 europe
Bruce_Lee	subject.People.Actors_models_and_celebrities	 asia
Bruce_Springsteen	subject.People.Performers_and_composers	 north
Brunei	subject.Geography.Geography_of_Asia.Asian_Countries	 asia
Brunei	subject.Countries	 asia
Brush	subject.Art.Art	 asia
Brussels	subject.Geography.European_Geography	 europe
Brute_force_attack	subject.IT.Cryptography	 ant
Bryce_Canyon_National_Park	subject.Geography.North_American_Geography	 north
Btrieve	subject.IT.Software	 asia
Bucharest	subject.Geography.European_Geography	 europe
Buckingham_Palace	subject.Design_and_Technology.Architecture	 europe
Buckminster_Fuller	subject.People.Engineers_and_inventors	 north
Budapest	subject.Geography.European_Geography	 europe
Buddha	subject.People.Religious_figures_and_leaders	 asia
Buddhism	subject.Religion.Religious_movements_traditions_and_organizations	 asia
Buddhist_art	subject.Art.Art	 asia
Buenos_Aires	subject.Geography.Central_and_South_American_Geography	 south
Buffy_the_Vampire_Slayer	subject.Everyday_life.Television	 north
Bulgaria	subject.Countries	 europe
Bulgaria	subject.Geography.European_Geography.European_Countries	 europe
Bull_shark	subject.Science.Biology.Insects_Reptiles_and_Fish	 africa
Burkina_Faso	subject.Geography.African_Geography.African_Countries	 africa
Burkina_Faso	subject.Countries	 africa
Burundi	subject.Geography.African_Geography.African_Countries	 africa
Burundi	subject.Countries	 africa
Bushbuck	subject.Science.Biology.Mammals	 africa
Bushpig	subject.Science.Biology.Mammals	 africa
Business	subject.Business_Studies.Business	 north
Butter	subject.Everyday_life.Food_and_agriculture	 australia
Button	subject.Design_and_Technology.Engineering	 asia
Byzantine_Empire	subject.History.General_history	 europe
C%2B%2B	subject.IT.Computer_Programming	 asia
C%C3%A6dmon	subject.People.Writers_and_critics	 europe
C%C3%B4te_d%27Ivoire	subject.Geography.African_Geography.African_Countries	 africa
C%C3%B4te_d%27Ivoire	subject.Countries	 africa
C._S._Lewis	subject.People.Writers_and_critics	 europe
CF7	subject.Design_and_Technology.Railway_transport	 north
CPU_cache	subject.IT.Computing_hardware_and_infrastructure	 asia
CS_gas	subject.Science.Chemistry.Chemical_compounds	 asia
Cactus	subject.Science.Biology.Plants	 south
Cadmium	subject.Science.Chemistry.Chemical_elements	 asia
Caesar_cipher	subject.IT.Cryptography	 ant
Caesium	subject.Science.Chemistry.Chemical_elements	 asia
Caesium_fluoride	subject.Science.Chemistry.Chemical_compounds	 asia
Cai_Lun	subject.People.Engineers_and_inventors	 asia
Cairo	subject.Geography.African_Geography	 africa
Cairo	subject.Geography.Geography_of_the_Middle_East	 africa
Calcite	subject.Geography.Mineralogy	 north
Calcium	subject.Science.Chemistry.Chemical_elements	 asia
Calcium_chloride	subject.Science.Chemistry.Chemical_compounds	 asia
Calculus	subject.Mathematics	 europe
Calgary	subject.Geography.North_American_Geography	 north
California	subject.Geography.North_American_Geography	 north
California_Southern_Railroad	subject.Design_and_Technology.Railway_transport	 north
Californium	subject.Science.Chemistry.Chemical_elements	 ant
Calligraphy	subject.Art.Art	 asia
Caloris_Basin	subject.Science.Physics.Space_Astronomy	 ant
Calvin_Coolidge	subject.People.USA_Presidents	 north
Calvin_and_Hobbes	subject.Everyday_life.Cartoons	 north
Camarasaurus	subject.Science.Biology.Dinosaurs	 south
Cambodia	subject.Geography.Geography_of_Asia.Asian_Countries	 asia
Cambodia	subject.Countries	 asia
Cambrian	subject.Geography.Geology_and_geophysics	 asia
Cambrian_explosion	subject.Geography.Geology_and_geophysics	 asia
Cambridge	subject.Geography.Geography_of_Great_Britain	 europe
Camel	subject.Science.Biology.Mammals	 africa
Cameroon	subject.Geography.African_Geography.African_Countries	 africa
Cameroon	subject.Countries	 africa
Canada	subject.Countries	 north
Canada	subject.Geography.North_American_Geography	 north
Canada_Goose	subject.Science.Biology.Birds	 north
Canadian_Charter_of_Rights_and_Freedoms	subject.Citizenship.Law	 north
Canadian_English	subject.Language_and_literature.Languages	 north
Canadian_House_of_Commons	subject.Citizenship.Politics_and_government	 north
Canadian_Pacific_Railway	subject.Design_and_Technology.Railway_transport	 north
Canadian_Senate	subject.Citizenship.Politics_and_government	 north
Canadian_football	subject.Everyday_life.Sports	 north
Canal	subject.Design_and_Technology.Engineering	 asia
Canaletto	subject.People.Artists	 europe
Canberra	subject.Geography.Geography_of_Oceania_Australasia	 australia
Cancer	subject.Science.Biology.Health_and_medicine	 none
Cane_Toad	subject.Science.Biology.Insects_Reptiles_and_Fish	 south
Canola	subject.Everyday_life.Food_and_agriculture	 north
Canterbury	subject.Geography.Geography_of_Great_Britain	 europe
Canterbury_Cathedral	subject.Design_and_Technology.Architecture	 europe
Canute_the_Great	subject.History.British_History.British_History_1500_and_before_including_Roman_Britain	 europe
Canute_the_Great	subject.People.Monarchs_of_Great_Britain	 europe
Capacitance	subject.Science.Physics.Electricity_and_Electronics	 asia
Cape_Canaveral	subject.Science.Physics.Space_transport	 north
Cape_Horn	subject.Geography.Central_and_South_American_Geography	 south
Cape_Lion	subject.Science.Biology.Mammals	 africa
Cape_Porcupine	subject.Science.Biology.Mammals	 africa
Cape_Town	subject.Geography.African_Geography	 africa
Cape_Verde	subject.Geography.African_Geography.African_Countries	 africa
Cape_Verde	subject.Countries	 africa
Capital	subject.Citizenship.Politics_and_government	 asia
Capitalism	subject.Citizenship.Politics_and_government	 world
Capitoline_Triad	subject.Religion.Divinities	 an
Captain_Marvel_%28DC_Comics%29	subject.Everyday_life.Cartoons	 north
Caracas	subject.Geography.Central_and_South_American_Geography	 south
Caratacus	subject.History.British_History.British_History_1500_and_before_including_Roman_Britain	 europe
Caratacus	subject.People.Historical_figures	 europe
Caravaggio	subject.People.Artists	 europe
Carbon	subject.Science.Chemistry.Chemical_elements	 asia
Carbon_dioxide	subject.Science.Chemistry.Chemical_compounds	 asia
Carboniferous	subject.Geography.Geology_and_geophysics	 ant
Carcinus_maenas	subject.Science.Biology.Organisms	 australia
Card_game	subject.Everyday_life.Games	 asia
Cardiff	subject.Geography.Geography_of_Great_Britain	 europe
Caribbean_Sea	subject.Geography.General_Geography	 car
Carl_Friedrich_Gauss	subject.People.Mathematicians	 europe
Carl_G._Fisher	subject.People.Historical_figures	 north
Carl_Jung	subject.People.Human_Scientists	 europe
Carl_Lewis	subject.People.Sports_and_games_people	 north
Carl_Sagan	subject.People.Astronomers_and_physicists	 north
Carlsbad_Caverns_National_Park	subject.Geography.North_American_Geography	 north
Carnivore	subject.Science.Biology.General_Biology	 africa
Caroline_Island	subject.Geography.Geography_of_Oceania_Australasia	 o
Carolingian_Gospel_Book_%28British_Library%2C_MS_Add._11848%29	subject.History.Historians_chroniclers_and_history_books	 europe
Carolus_Linnaeus	subject.People.Human_Scientists	 europe
Carrot	subject.Everyday_life.Food_and_agriculture	 asia
Carrot	subject.Science.Biology.Plants	 asia
Casablanca_%28film%29	subject.Everyday_life.Films	 north
Casimir_effect	subject.Science.Physics.General_Physics	 asia
Caspian_Sea	subject.Geography.General_Geography	 asia
Cassini-Huygens	subject.Science.Physics.Space_transport	 out
Cassowary	subject.Science.Biology.Birds	 australia
Castra	subject.Design_and_Technology.Architecture	 ant
Castra	subject.History.British_History.British_History_1500_and_before_including_Roman_Britain	 ant
Cat	subject.Science.Biology.Mammals	 africa
Cat%27s_Eye_Nebula	subject.Science.Physics.Space_Astronomy	 ant
Cat_Stevens	subject.People.Performers_and_composers	 europe
Cataract	subject.Science.Biology.Health_and_medicine	 asia
Cataract_surgery	subject.Science.Biology.Health_and_medicine	 asia
Cathedral_of_Magdeburg	subject.Design_and_Technology.Architecture	 europe
Catherine_Cranston	subject.History.British_History.British_History_Post_1900	 europe
Catherine_II_of_Russia	subject.People.Historical_figures	 europe
Catholic_social_teaching	subject.Religion.Religious_movements_traditions_and_organizations	 ant
Cattle	subject.Everyday_life.Food_and_agriculture	 africa
Cave	subject.Geography.Geology_and_geophysics	 australia
Cayman_Islands	subject.Geography.Central_and_South_American_Geography.Central_and_South_American_Countries	 car
Cayman_Islands	subject.Countries	 car
Celeriac	subject.Everyday_life.Food_and_agriculture	 asia
Celeriac	subject.Science.Biology.Plants	 asia
Celery	subject.Everyday_life.Food_and_agriculture	 europe
Celery	subject.Science.Biology.Plants	 europe
Celine_Dion	subject.People.Performers_and_composers	 canada
Cell_%28biology%29	subject.Science.Biology.General_Biology	 ant
Cello	subject.Music.Musical_Instruments	 europe
Celtic_F.C.	subject.Everyday_life.Sports_teams	 europe
Celtic_Park	subject.Everyday_life.Sports	 europe
Celtic_mythology	subject.Religion.Myths	 europe
Central_African_Republic	subject.Geography.African_Geography.African_Countries	 africa
Central_African_Republic	subject.Countries	 africa
Central_processing_unit	subject.IT.Computing_hardware_and_infrastructure	 asia
Ceratopsidae	subject.Science.Biology.Dinosaurs	 asia
Cereal	subject.Everyday_life.Food_and_agriculture	 asia
Cereal	subject.Science.Biology.Plants	 asia
Cerebellum	subject.Science.Biology.General_Biology	 asia
Ceres_%28dwarf_planet%29	subject.Science.Physics.Space_Astronomy	 ast
Cerium	subject.Science.Chemistry.Chemical_elements	 ant
Chad	subject.Geography.African_Geography.African_Countries	 africa
Chad	subject.Countries	 africa
Chadian-Sudanese_conflict	subject.Citizenship.Conflict_and_Peace	 africa
Chadian-Sudanese_conflict	subject.History.Recent_History	 africa
Chaffinch	subject.Science.Biology.Birds	 europe
Channel_Islands	subject.Geography.Geography_of_Great_Britain	 europe
Charlemagne	subject.People.Historical_figures	 europe
Charles_Babbage	subject.People.Computing_People	 europe
Charles_Darwin	subject.People.Human_Scientists	 europe
Charles_Dickens	subject.People.Writers_and_critics	 europe
Charles_Etienne_Brasseur_de_Bourbourg	subject.People.Writers_and_critics	 europe
Charles_II_of_England	subject.History.British_History.British_History_15001750	 europe
Charles_II_of_England	subject.People.Monarchs_of_Great_Britain	 europe
Charles_I_of_England	subject.History.British_History.British_History_15001750	 europe
Charles_I_of_England	subject.People.Monarchs_of_Great_Britain	 europe
Charles_Sumner	subject.People.Historical_figures	 north
Charles_V%2C_Holy_Roman_Emperor	subject.People.Historical_figures	 europe
Charlie_Chaplin	subject.People.Actors_models_and_celebrities	 europe
Charlotte%27s_Web	subject.Language_and_literature.Novels	 north
Chartism	subject.History.British_History.British_History_17501900	 europe
Che_Guevara	subject.People.Historical_figures	 south
Cheers	subject.Everyday_life.Television	 north
Cheese	subject.Everyday_life.Food_and_agriculture	 ant
Cheetah	subject.Science.Biology.Mammals	 africa
Chelsea_F.C.	subject.Everyday_life.Sports_teams	 europe
Chemical_element	subject.Science.Chemistry.General_Chemistry	 asia
Chemical_synapse	subject.Science.Biology.General_Biology	 ant
Chemistry	subject.Science.Chemistry.General_Chemistry	 europe
Chennai	subject.Geography.Geography_of_Asia	 asia
Chepstow_Bridge	subject.Design_and_Technology.Engineering	 europe
Chernobyl_disaster	subject.History.Recent_History	 europe
Chess	subject.Everyday_life.Games	 ant
Chester_A._Arthur	subject.People.USA_Presidents	 north
Chestnut	subject.Science.Biology.Plants	 asia
Chew_Magna	subject.Geography.Geography_of_Great_Britain	 europe
Chew_Stoke	subject.Geography.Geography_of_Great_Britain	 europe
Chew_Valley	subject.Geography.Geography_of_Great_Britain	 europe
Chew_Valley_Lake	subject.Geography.Geography_of_Great_Britain	 europe
Chicago	subject.Geography.North_American_Geography	 north
Chicago_Bears	subject.Everyday_life.Sports_teams	 north
Chicago_and_North_Western_Railway	subject.Design_and_Technology.Railway_transport	 north
Chicken	subject.Everyday_life.Food_and_agriculture	 asia
Child	subject.Science.Biology.Health_and_medicine	 ant
Children%27s_Crusade	subject.History.Military_History_and_War	 europe
Children%27s_Crusade	subject.Religion.Religious_disputes	 europe
Children%27s_rights_movement	subject.Citizenship.Animal_and_Human_Rights	 world
Chile	subject.Geography.Central_and_South_American_Geography.Central_and_South_American_Countries	 south
Chile	subject.Countries	 south
Chiltern_Hills	subject.Geography.Geography_of_Great_Britain	 europe
Chimpanzee	subject.Science.Biology.Mammals	 africa
China	subject.Geography.Geography_of_Asia.Asian_Countries	 asia
China	subject.Countries	 asia
Chinese_Rites_controversy	subject.Religion.Religious_disputes	 asia
Chinese_language	subject.Language_and_literature.Languages	 asia
Chinyingi	subject.Geography.Geography_of_Asia	 africa
Chives	subject.Everyday_life.Food_and_agriculture	 europe
Chives	subject.Science.Biology.Plants	 europe
Chlorine	subject.Science.Chemistry.Chemical_elements	 asia
Chocolate	subject.Everyday_life.Food_and_agriculture	 south
Chola_dynasty	subject.History.General_history	 asia
Cholera	subject.Science.Biology.Health_and_medicine	 asia
Chordate	subject.Science.Biology.Insects_Reptiles_and_Fish	 asia
Chris_Evert	subject.People.Sports_and_games_people	 north
Christian_Bale	subject.People.Actors_models_and_celebrities	 ant
Christian_monasticism	subject.History.British_History.British_History_1500_and_before_including_Roman_Britain	 ant
Christian_monasticism	subject.Religion.Religious_movements_traditions_and_organizations	 ant
Christianity	subject.Religion.Religious_movements_traditions_and_organizations	 africa
Christina_Aguilera	subject.People.Performers_and_composers	 north
Christmas_Island	subject.Geography.Geography_of_Asia.Asian_Countries	 australia
Christmas_Island	subject.Countries	 australia
Christmas_Island	subject.Geography.Geography_of_Oceania_Australasia	 australia
Christopher_Columbus	subject.People.Geographers_and_explorers	 europe
Christopher_Wren	subject.Design_and_Technology.Architecture	 europe
Christopher_Wren	subject.People.Engineers_and_inventors	 europe
Chromatic_aberration	subject.Science.Physics.Space_Astronomy	 asia
Chromatophore	subject.Science.Biology.General_Biology	 asia
Chromium	subject.Science.Chemistry.Chemical_elements	 asia
Church_of_England	subject.Religion.Religious_movements_traditions_and_organizations	 europe
Church_of_Ireland	subject.Religion.Religious_movements_traditions_and_organizations	 europe
Cicely	subject.Science.Biology.Plants	 europe
Cider	subject.Everyday_life.Drink	 europe
Cinema_of_the_United_States	subject.Everyday_life.Films	 north
Citizen_Kane	subject.Everyday_life.Films	 north
Citizenship	subject.Citizenship.Politics_and_government	 ant
Citrus	subject.Everyday_life.Food_and_agriculture	 asia
Citrus	subject.Science.Biology.Plants	 asia
City	subject.Geography.General_Geography	 asia
City_status_in_the_United_Kingdom	subject.Geography.Geography_of_Great_Britain	 europe
Civil_War_token	subject.History.North_American_History	 north
Civil_rights	subject.Citizenship.Animal_and_Human_Rights	 north
Civil_society	subject.Citizenship.Politics_and_government	 ant
Civilization	subject.Citizenship.Culture_and_Diversity	 world
Civilization_%28computer_game%29	subject.Everyday_life.Computer_and_Video_games	 north
Clarinet	subject.Music.Musical_Instruments	 asia
Classic_female_blues	subject.Music.Musical_genres_styles_eras_and_events	 africa
Claude_L%C3%A9vi-Strauss	subject.People.Human_Scientists	 europe
Claude_Monet	subject.People.Artists	 europe
Claudius	subject.People.Historical_figures	 rome
Clay	subject.Geography.Geology_and_geophysics	 asia
Cleopatra_VII	subject.People.Historical_figures	 africa
Cleopatra_VII_of_Egypt	subject.History.Ancient_History_Classical_History_and_Mythology	 africa
Cleopatra_VII_of_Egypt	subject.People.Historical_figures	 africa
Cleveland%2C_Ohio	subject.Geography.North_American_Geography	 north
Clifton_Suspension_Bridge	subject.Design_and_Technology.Architecture	 europe
Clifton_Suspension_Bridge	subject.Design_and_Technology.Engineering	 europe
Climate	subject.Geography.General_Geography	 world
Climate_change	subject.Geography.Climate_and_the_Weather	 world
Clock	subject.Design_and_Technology.Engineering	 asia
Clone_Wars_%28Star_Wars%29	subject.Everyday_life.Films	 asia
Clothing	subject.Everyday_life.Everyday_life	 asia
Cloud	subject.Geography.Climate_and_the_Weather	 asia
Coal	subject.Citizenship.Environment	 asia
Coal	subject.Geography.Mineralogy	 asia
Coal_Tit	subject.Science.Biology.Birds	 asia
Cobalt	subject.Science.Chemistry.Chemical_elements	 africa
Coccinellidae	subject.Science.Biology.Insects_Reptiles_and_Fish	 australia
Cochineal	subject.Science.Biology.Insects_Reptiles_and_Fish	 south
Cockatiel	subject.Science.Biology.Birds	 australia
Cocoa	subject.Everyday_life.Food_and_agriculture	 north
Coconut	subject.Everyday_life.Food_and_agriculture	 asia
Coconut	subject.Science.Biology.Plants	 asia
Coconut_crab	subject.Science.Biology.Insects_Reptiles_and_Fish	 australia
Coconut_oil	subject.Everyday_life.Food_and_agriculture	 asia
Cocos_%28Keeling%29_Islands	subject.Countries	 australia
Cocos_%28Keeling%29_Islands	subject.Geography.Geography_of_Oceania_Australasia	 australia
Cod	subject.Science.Biology.Insects_Reptiles_and_Fish	 europe
Code_of_Hammurabi	subject.History.Ancient_History_Classical_History_and_Mythology	 asia
Coffee	subject.Everyday_life.Drink	 africa
Coin	subject.Business_Studies.Currency	 asia
Cold_War	subject.History.Recent_History	 europe
Colditz_Castle	subject.History.Military_History_and_War	 europe
Colima_%28volcano%29	subject.Geography.Central_and_South_American_Geography	 south
Collapse_of_the_World_Trade_Center	subject.History.Recent_History	 north
Colley_Cibber	subject.Language_and_literature.Theatre	 europe
Colley_Cibber	subject.People.Writers_and_critics	 europe
Cologne	subject.Geography.European_Geography	 europe
Colombia	subject.Geography.Central_and_South_American_Geography.Central_and_South_American_Countries	 south
Colombia	subject.Countries	 south
Colombo	subject.Geography.Geography_of_Asia	 asia
Color	subject.Science.Physics.General_Physics	 ant
Color_Graphics_Adapter	subject.IT.Computing_hardware_and_infrastructure	 north
Color_blindness	subject.Science.Biology.Health_and_medicine	 none
Colorado_River	subject.Geography.North_American_Geography	 north
Colossus_of_Rhodes	subject.History.Ancient_History_Classical_History_and_Mythology	 asia
Colossus_of_Rhodes	subject.Design_and_Technology.Architecture	 asia
Columba	subject.People.Religious_figures_and_leaders	 europe
Columbia_River	subject.Geography.North_American_Geography	 north
Columbine_High_School_massacre	subject.History.Recent_History	 north
Columbus%2C_Ohio	subject.Geography.North_American_Geography	 north
Comet	subject.Science.Physics.Space_Astronomy	 ant
Comet_Hale-Bopp	subject.Science.Physics.Space_Astronomy	 ant
Comet_Halley	subject.Science.Physics.Space_Astronomy	 ant
Comet_Hyakutake	subject.Science.Physics.Space_Astronomy	 asia
Comet_Shoemaker-Levy_9	subject.Science.Physics.Space_Astronomy	 ant
Comet_White-Ortiz-Bolelli	subject.Science.Physics.Space_Astronomy	 ant
Comics	subject.Everyday_life.Cartoons	 asia
Comma_Johanneum	subject.Religion.Religious_texts	 europe
Commodore_64	subject.IT.Computing_hardware_and_infrastructure	 ant
Common_Basilisk	subject.Science.Biology.Insects_Reptiles_and_Fish	 south
Common_Cuckoo	subject.Science.Biology.Birds	 africa
Common_Eider	subject.Science.Biology.Birds	 europe
Common_Eland	subject.Science.Biology.Mammals	 africa
Common_Hazel	subject.Science.Biology.Plants	 europe
Common_Pheasant	subject.Science.Biology.Birds	 asia
Common_Pheasant	subject.Everyday_life.Food_and_agriculture	 asia
Common_Tern	subject.Science.Biology.Birds	 europe
Common_agouti	subject.Science.Biology.Mammals	 south
Common_cold	subject.Science.Biology.Health_and_medicine	 ant
Common_sage	subject.Science.Biology.Plants	 europe
Commonwealth_Games	subject.Everyday_life.Sports_events	 australia
Communication	subject.Citizenship.Media	 asia
Communism	subject.Citizenship.Politics_and_government	 asia
Community	subject.Citizenship.Culture_and_Diversity	 australia
Comoros	subject.Geography.African_Geography.African_Countries	 africa
Compact_Disc	subject.IT.Computing_hardware_and_infrastructure	 asia
Company_%28law%29	subject.Business_Studies.Business	 ant
Compsognathus	subject.Science.Biology.Dinosaurs	 europe
Computational_chemistry	subject.Science.Chemistry.General_Chemistry	 ant
Computer	subject.IT.Computing_hardware_and_infrastructure	 ant
Computer_and_video_games	subject.Everyday_life.Computer_and_Video_games	 asia
Computer_programming	subject.IT.Computer_Programming	 asia
Computer_science	subject.IT.Computer_Programming	 asia
Conakry	subject.Geography.African_Geography	 africa
Concorde	subject.Design_and_Technology.Air_and_Sea_transport	 europe
Condoleezza_Rice	subject.People.Political_People	 north
Conflict	subject.Citizenship.Conflict_and_Peace	 world
Confucianism	subject.Religion.Philosophy	 asia
Confucius	subject.People.Philosophers	 asia
Congo_River	subject.Geography.African_Geography	 africa
Consolation_of_Philosophy	subject.Religion.Philosophy	 ant
Constantine_I	subject.People.Historical_figures	 europe
Constantine_II_of_Scotland	subject.History.British_History.British_History_1500_and_before_including_Roman_Britain	 europe
Constitution_of_May_3%2C_1791	subject.Citizenship.Law	 europe
Constitutional_monarchy	subject.Citizenship.Politics_and_government	 asia
Constructivism_%28art%29	subject.Art.Art	 europe
Consumer_protection	subject.Citizenship.Law	 ant
Contact_lens	subject.Design_and_Technology.Engineering	 asia
Continent	subject.Geography.General_Geography	 africa
Continental_crust	subject.Geography.Geology_and_geophysics	 ant
Control_car_%28rail%29	subject.Design_and_Technology.Railway_transport	 asia
Convention_on_the_International_Trade_in_Endangered_Species_of_Wild_Flora_and_Fauna	subject.Citizenship.Animal_and_Human_Rights	 ant
Convention_on_the_International_Trade_in_Endangered_Species_of_Wild_Flora_and_Fauna	subject.Citizenship.Law	 ant
Convention_on_the_Rights_of_the_Child	subject.Citizenship.Animal_and_Human_Rights	 world
Cook_Islands	subject.Countries	 o
Cook_Islands	subject.Geography.Geography_of_Oceania_Australasia	 o
Cookiecutter_shark	subject.Science.Biology.Insects_Reptiles_and_Fish	 ant
Cooperative	subject.Business_Studies.Business	 ant
Cooperative	subject.Citizenship.Community_organisations	 ant
Coot	subject.Science.Biology.Birds	 australia
Copenhagen	subject.Geography.European_Geography	 europe
Copenhagen_Fire_of_1728	subject.History.General_history	 europe
Copper	subject.Science.Chemistry.Chemical_elements	 south
Copper%28I%29_chloride	subject.Science.Chemistry.Chemical_compounds	 asia
Coriander	subject.Everyday_life.Food_and_agriculture	 asia
Coriander	subject.Science.Biology.Plants	 asia
Corinthian_War	subject.History.Pre_1900_Military	 an
Cormorant	subject.Science.Biology.Birds	 asia
Corn_oil	subject.Everyday_life.Food_and_agriculture	 north
Cornea	subject.Science.Biology.Health_and_medicine	 asia
Cornell_University	subject.Citizenship.Education	 north
Coronation_Street	subject.Everyday_life.Television	 europe
Corporate_finance	subject.Business_Studies.Business	 asia
Corporation	subject.Business_Studies.Business	 asia
Corrosion	subject.Design_and_Technology.Engineering	 asia
Corundum	subject.Geography.Mineralogy	 asia
Cosmic_inflation	subject.Science.Physics.Space_Astronomy	 ant
Cosmic_microwave_background_radiation	subject.Science.Physics.Space_Astronomy	 ant
Costa_Rica	subject.Geography.Central_and_South_American_Geography.Central_and_South_American_Countries	 central
Costa_Rica	subject.Countries	 central
Costume_design	subject.Language_and_literature.Theatre	 asia
Cotopaxi	subject.Geography.Central_and_South_American_Geography	 south
Cotopaxi	subject.Geography.Natural_Disasters	 south
Cotswolds	subject.Geography.Geography_of_Great_Britain	 europe
Cotton	subject.Science.Biology.Plants	 asia
Coulomb%27s_law	subject.Science.Physics.Electricity_and_Electronics	 ant
Country	subject.Geography.General_Geography	 world
Coupling_%28railway%29	subject.Design_and_Technology.Railway_transport	 asia
Coventry	subject.Geography.Geography_of_Great_Britain	 europe
Crab_Nebula	subject.Science.Physics.Space_Astronomy	 ant
Crash_test_dummy	subject.Design_and_Technology.Engineering	 asia
Craters_of_the_Moon_National_Monument_and_Preserve	subject.Geography.North_American_Geography	 north
Craton	subject.Geography.Geology_and_geophysics	 africa
Creation-evolution_controversy	subject.Science.Biology.Evolution_and_reproduction	 ant
Creation-evolution_controversy	subject.Religion.Religious_disputes	 ant
Creationism	subject.Religion.Myths	 africa
Creationism	subject.Religion.Religious_disputes	 africa
Creative_Commons	subject.Citizenship.Law	 ant
Cretaceous	subject.Geography.Geology_and_geophysics	 ant
Cretaceous-Tertiary_extinction_event	subject.History.Ancient_History_Classical_History_and_Mythology	 ant
Cretaceous-Tertiary_extinction_event	subject.Geography.Geology_and_geophysics	 ant
Cricket	subject.Everyday_life.Sports	 asia
Crime	subject.Citizenship.Law	 south
Crime_and_Punishment	subject.Language_and_literature.Novels	 asia
Crime_in_Mexico	subject.Geography.Central_and_South_American_Geography	 south
Crimean_Karaites	subject.Geography.Peoples	 asia
Crimean_War	subject.History.Pre_1900_Military	 europe
Crimson-collared_Tanager	subject.Science.Biology.Birds	 south
Cristero_War	subject.History.Military_History_and_War	 latin
Criticism_of_the_War_on_Terrorism	subject.Citizenship.Politics_and_government	 asia
Croatia	subject.Countries	 europe
Croatia	subject.Geography.European_Geography.European_Countries	 europe
Crocodile	subject.Science.Biology.Insects_Reptiles_and_Fish	 africa
Crohn%27s_disease	subject.Science.Biology.Health_and_medicine	 asia
Cross_Fell	subject.Geography.Geography_of_Great_Britain	 europe
Crossbill	subject.Science.Biology.Birds	 asia
Crow	subject.Science.Biology.Birds	 asia
Crown_Jewels_of_the_United_Kingdom	subject.History.British_History	 europe
Crown_Jewels_of_the_United_Kingdom	subject.Citizenship.Politics_and_government	 europe
Crusades	subject.History.Pre_1900_Military	 europe
Crusades	subject.Religion.Religious_disputes	 europe
Crust_%28geology%29	subject.Geography.Geology_and_geophysics	 africa
Crustacean	subject.Science.Biology.Organisms	 ant
Cryptography	subject.IT.Cryptography	 asia
Crystal	subject.Science.Chemistry.Materials_science	 australia
Crystallographic_defects_in_diamond	subject.Science.Chemistry.Materials_science	 ant
Cuba	subject.Geography.Central_and_South_American_Geography.Central_and_South_American_Countries	 ant
Cuba	subject.Countries	 ant
Cubeb	subject.Science.Biology.Plants	 asia
Cubism	subject.Art.Art	 europe
Cuckmere_Haven	subject.Geography.Geography_of_Great_Britain	 europe
Cultivar	subject.Everyday_life.Food_and_agriculture	 australia
Cultivar	subject.Science.Biology.General_Biology	 australia
Cultural_diversity	subject.Citizenship.Culture_and_Diversity	 world
Cultural_identity	subject.Citizenship.Culture_and_Diversity	 asia
Culture	subject.Everyday_life.Everyday_life	 world
Culture_of_the_Democratic_Republic_of_the_Congo	subject.Geography.African_Geography	 africa
Curium	subject.Science.Chemistry.Chemical_elements	 ant
Currency	subject.Business_Studies.Currency	 asia
Cyanocobalamin	subject.Science.Chemistry.Chemical_compounds	 asia
Cyberpunk	subject.Language_and_literature.Literature_types	 asia
Cyclamen	subject.Science.Biology.Plants	 ant
Cyclamen	subject.Everyday_life.Recreation	 ant
Cyclone_Percy	subject.Geography.Natural_Disasters	 australia
Cyclone_Percy	subject.Geography.Storms	 australia
Cyclone_Rosita	subject.Geography.Natural_Disasters	 australia
Cyclone_Rosita	subject.Geography.Storms	 australia
Cyclops	subject.History.Ancient_History_Classical_History_and_Mythology	 greece
Cymbopogon	subject.Everyday_life.Food_and_agriculture	 asia
Cymbopogon	subject.Science.Biology.Plants	 asia
Cyprus	subject.Countries	 asia
Cyprus	subject.Geography.European_Geography.European_Countries	 asia
Cyril_Clarke	subject.People.Human_Scientists	 ant
Cyrus_K._Holliday	subject.People.Political_People	 north
Cyrus_the_Great	subject.People.Historical_figures	 asia
Cystic_fibrosis	subject.Science.Biology.Health_and_medicine	 ant
Czech_Republic	subject.Countries	 europe
Czech_Republic	subject.Geography.European_Geography.European_Countries	 europe
